Date	Time	Longitude	Latitude	Block	Season	Year	Month
2007-01-09	13:50:29	126.19532	-10.10284	ALB	Spring	2007	September
2007-01-09	13:51:01	126.19474	-10.10223	ALB	Spring	2007	September
2007-01-09	13:52:01	126.19388	-10.10134	ALB	Spring	2007	September
2007-01-09	13:54:49	126.19143	-10.09874	ALB	Spring	2007	September
2007-01-09	13:55:49	126.19056	-10.09778	ALB	Spring	2007	September
2007-01-09	13:56:49	126.1897	-10.09685	ALB	Spring	2007	September
2007-01-09	13:57:49	126.18885	-10.09591	ALB	Spring	2007	September
2007-01-09	13:58:49	126.188	-10.09496	ALB	Spring	2007	September
2007-01-09	13:59:49	126.18715	-10.09401	ALB	Spring	2007	September
2007-01-09	14:00:49	126.1863	-10.09308	ALB	Spring	2007	September
2007-01-09	14:01:49	126.18542	-10.09215	ALB	Spring	2007	September
2007-01-09	14:02:49	126.18451	-10.09124	ALB	Spring	2007	September
2007-01-09	14:03:49	126.18361	-10.09033	ALB	Spring	2007	September
2007-01-09	14:04:49	126.1827	-10.0894	ALB	Spring	2007	September
2007-01-09	14:05:49	126.18183	-10.08848	ALB	Spring	2007	September
2007-01-09	14:06:49	126.18095	-10.08755	ALB	Spring	2007	September
2007-01-09	14:07:49	126.18006	-10.08663	ALB	Spring	2007	September
2007-01-09	14:08:49	126.17922	-10.08568	ALB	Spring	2007	September
2007-01-09	14:09:49	126.17832	-10.08476	ALB	Spring	2007	September
2007-01-09	14:10:49	126.17743	-10.08386	ALB	Spring	2007	September
2007-01-09	14:11:49	126.17649	-10.08289	ALB	Spring	2007	September
2007-01-09	14:12:49	126.17553	-10.08192	ALB	Spring	2007	September
2007-01-09	14:13:49	126.17457	-10.0809	ALB	Spring	2007	September
2007-01-09	14:14:49	126.17361	-10.07989	ALB	Spring	2007	September
2007-01-09	14:15:49	126.17266	-10.07886	ALB	Spring	2007	September
2007-01-09	14:16:49	126.1717	-10.07783	ALB	Spring	2007	September
2007-01-09	14:17:49	126.17075	-10.07678	ALB	Spring	2007	September
2007-01-09	14:18:49	126.16979	-10.07575	ALB	Spring	2007	September
2007-01-09	14:19:49	126.16885	-10.07467	ALB	Spring	2007	September
2007-01-09	14:20:49	126.16789	-10.07361	ALB	Spring	2007	September
2007-01-09	14:21:49	126.16695	-10.07254	ALB	Spring	2007	September
2007-01-09	14:22:49	126.16601	-10.07148	ALB	Spring	2007	September
2007-01-09	14:23:49	126.16507	-10.07043	ALB	Spring	2007	September
2007-01-09	14:24:49	126.16407	-10.0694	ALB	Spring	2007	September
2007-01-09	14:25:49	126.16313	-10.06833	ALB	Spring	2007	September
2007-01-09	14:26:49	126.16214	-10.06733	ALB	Spring	2007	September
