Block,Date,Obs type,Species,Group,Adults,calves,Adcalves,Resighted,Season,Latitude,Longitude
alb,2007-07-06,Crew,Blue whale,Large whale,2,,2,Not a duplicate,Winter,-9.6,125.4571833
alb,2007-07-08,Crew,Blue whale,Large whale,4,,4,Not a duplicate,Winter,-9.65,125.5066667
alb,2007-07-08,Crew,Unidentified whale,Unidentified large whale,1,,1,Not a duplicate,Winter,-9.711666667,125.59
alb,2007-07-13,Crew,Unidentified large whale,Unidentified large whale,1,,1,Not a duplicate,Winter,-9.748333333,125.5983333
alb,2007-07-14,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Winter,-10.02166667,125.5983333
alb,2007-07-19,Crew,Unidentified large whale,Unidentified large whale,3,,3,Not a duplicate,Winter,-10.25666667,125.8933333
alb,2007-07-20,Crew,Unidentified whale,Unidentified large whale,2,,2,Not a duplicate,Winter,-10.25,125.8166667
alb,2007-07-21,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Winter,-10.29333333,125.8716667
alb,2007-07-22,Crew,Unidentified large whale,Unidentified large whale,2,,2,Not a duplicate,Winter,-10.10666667,125.6983333
alb,2007-07-22,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Winter,-10.10166667,125.69
alb,2007-07-23,Crew,Unidentified large whale,Unidentified large whale,1,,1,Not a duplicate,Winter,-10.17989167,125.7785983
alb,2007-07-26,Crew,Dolphins,Dolphins,20,,20,Not a duplicate,Winter,-10.46,126.035
alb,2007-07-27,Crew,Dolphins,Dolphins,20,,20,Not a duplicate,Winter,-10.34666667,125.9516667
alb,2007-07-30,Crew,Dolphins,Dolphins,2,,2,Not a duplicate,Winter,-10.22016667,125.8083333
alb,2007-07-30,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Winter,-10.235,125.8316667
alb,2007-07-30,Crew,Unidentified large whale,Unidentified large whale,1,,1,Not a duplicate,Winter,-10.23833333,125.8166667
alb,2007-07-31,Crew,Unidentified large whale,Unidentified large whale,1,,1,Not a duplicate,Winter,-10.185,125.995
alb,2007-08-02,Crew,Dolphins,Dolphins,12,,12,Not a duplicate,Winter,-10.02166667,125.735
alb,2007-08-02,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Winter,-10.00666667,125.8233333
alb,2007-08-03,Crew,Blue whale,Large whale,2,,2,Not a duplicate,Winter,-9.813333333,125.6516667
alb,2007-08-03,Crew,Blue whale,Large whale,2,,2,Not a duplicate,Winter,-9.85,125.69
alb,2007-08-03,Crew,Blue whale,Large whale,4,,4,Not a duplicate,Winter,-9.901666667,125.635
alb,2007-08-03,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Winter,-9.935,125.6633333
alb,2007-08-06,Crew,Blue whale,Large whale,2,,2,Not a duplicate,Winter,-9.816666667,125.6666667
alb,2007-08-11,Crew,Unidentified medium whale,,4,,4,Not a duplicate,Winter,-9.766666667,125.8166667
alb,2007-08-11,Crew,Dolphins,Dolphins,20,,20,Not a duplicate,Winter,-9.778333333,125.7266667
alb,2007-08-11,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Winter,-10.02333333,125.855
alb,2007-08-14,Crew,Unidentified large whale,Unidentified large whale,1,,1,Not a duplicate,Winter,-10.25,126.0833333
alb,2007-08-14,Crew,Unidentified large whale,Unidentified large whale,1,,1,Not a duplicate,Winter,-10.23333333,126.0666667
alb,2007-08-16,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Winter,-10.265,126.0883333
alb,2007-08-19,Crew,Dolphins,Dolphins,4,,4,Not a duplicate,Winter,-10.07833333,125.9916667
alb,2007-08-20,Crew,Blue whale,Large whale,1,1,2,Not a duplicate,Winter,-9.931666667,125.7366667
alb,2007-08-24,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Winter,-9.766666667,125.7583333
alb,2007-09-02,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.88388,125.91363
alb,2007-09-04,Dedicated,Blue whale,Large whale,1,1,2,Not a duplicate,Spring,-9.92626,126.0589
alb,2007-09-04,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.90673,126.04063
alb,2007-09-04,Dedicated,Blue whale,Large whale,2,,2,Not a duplicate,Spring,-9.69404,125.95479
alb,2007-09-06,Dedicated,Unidentified large whale,Unidentified large whale,1,,1,Not a duplicate,Spring,-10.0421,126.17842
alb,2007-09-06,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.8094,125.96608
alb,2007-09-06,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.80559,125.96285
alb,2007-09-06,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.79249,125.95131
alb,2007-09-06,Dedicated,Unidentified large whale,Unidentified large whale,1,,1,Possible duplicate,Spring,-9.83786,126.11811
alb,2007-09-07,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.87996,126.04134
alb,2007-09-08,Dedicated,Dolphins,Dolphins,30,,30,Not a duplicate,Spring,-10.05662,126.31654
alb,2007-09-09,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.79008,125.97439
alb,2007-09-09,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.76194,125.94873
alb,2007-09-17,Dedicated,Unidentified large whale,Unidentified large whale,1,,1,Not a duplicate,Spring,-9.79149,126.03195
alb,2007-09-17,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.70905,125.98627
alb,2007-09-17,Crew,Unidentified large whale,Unidentified large whale,3,,3,Not a duplicate,Spring,-9.68111,126.00364
alb,2007-09-17,Crew,Blue whale,Large whale,3,,3,Not a duplicate,Spring,-9.77128,126.13411
alb,2007-09-17,Dedicated,Dolphins,Dolphins,40,,40,Not a duplicate,Spring,-9.78923,126.15032
alb,2007-09-17,Crew,Blue whale,Large whale,2,,2,Not a duplicate,Spring,-9.88677,126.23861
alb,2007-09-17,Dedicated,Blue whale,Large whale,2,,2,Possible duplicate,Spring,-9.78625,126.14757
alb,2007-09-17,Dedicated,Blue whale,Large whale,2,,2,Possible duplicate,Spring,-9.97157,126.31766
alb,2007-09-18,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.98435,126.33541
alb,2007-09-18,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.96119,126.323222
alb,2007-09-18,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.99322,126.3553667
alb,2007-09-19,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-10.00289,126.09208
alb,2007-09-19,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.97146,126.06869
alb,2007-09-19,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.94934,126.18618
alb,2007-09-20,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.70135,126.23768
alb,2007-09-21,Dedicated,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.71157,126.45614
alb,2007-09-24,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.46,126.3566667
alb,2007-09-25,Crew,Dolphins,Dolphins,8,,8,Not a duplicate,Spring,-9.733333333,126.4783333
alb,2007-09-28,Crew,Pilot whales,Medium whale,24,,24,Not a duplicate,Spring,-9.488333333,126.335
alb,2007-09-30,Crew,Unidentified large whale,Unidentified large whale,1,,1,Not a duplicate,Spring,-9.486666667,126.325
alb,2007-09-30,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.508,126.3418167
alb,2007-09-30,Crew,Dolphins,Dolphins,11,,11,Not a duplicate,Spring,-9.5,126.2333333
alb,2007-09-30,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.526666667,126.2533333
alb,2007-10-05,Crew,Dolphins,Dolphins,15,,15,Not a duplicate,Spring,-9.568333333,126.2533333
alb,2007-10-05,Crew,Blue whale,Large whale,1,,1,Not a duplicate,Spring,-9.488333333,126.28
alb,2007-10-14,Crew,Dolphins,Dolphins,8,,8,Not a duplicate,Spring,-9.544816667,126.0770333
